,HOL,RNK,PAR,YDG,AVG,SC,EAG,BIR,PAR,BOG,DBL,OTH
0,11.0,1.0,5.0,512.0,5.47,0.47,0.0,31.0,98.0,45.0,17.0,13.0
1,2.0,2.0,4.0,438.0,4.41,0.41,0.0,15.0,114.0,59.0,9.0,7.0
2,14.0,3.0,3.0,185.0,3.41,0.41,0.0,10.0,127.0,45.0,18.0,4.0
3,13.0,4.0,4.0,396.0,4.38,0.38,0.0,16.0,112.0,60.0,15.0,1.0
4,17.0,5.0,4.0,446.0,4.32,0.32,0.0,15.0,130.0,40.0,17.0,2.0
5,15.0,6.0,4.0,421.0,4.27,0.27,0.0,32.0,115.0,37.0,12.0,8.0
6,8.0,7.0,3.0,212.0,3.26,0.26,0.0,12.0,132.0,54.0,6.0,0.0
7,9.0,8.0,4.0,438.0,4.26,0.26,1.0,13.0,130.0,53.0,5.0,2.0
8,5.0,9.0,4.0,378.0,4.24,0.24,0.0,26.0,120.0,44.0,12.0,2.0
9,7.0,10.0,4.0,404.0,4.2,0.2,0.0,24.0,130.0,35.0,15.0,0.0
10,1.0,11.0,5.0,567.0,5.14,0.14,1.0,38.0,112.0,40.0,11.0,2.0
11,4.0,12.0,3.0,189.0,3.13,0.13,0.0,23.0,136.0,41.0,3.0,1.0
12,10.0,13.0,4.0,419.0,4.11,0.11,0.0,35.0,123.0,36.0,8.0,2.0
13,12.0,14.0,4.0,356.0,4.07,0.07,0.0,24.0,144.0,34.0,2.0,0.0
14,16.0,15.0,3.0,148.0,3.07,0.07,0.0,33.0,130.0,35.0,6.0,0.0
15,18.0,16.0,5.0,529.0,5.02,0.02,4.0,62.0,92.0,25.0,16.0,5.0
16,6.0,17.0,4.0,292.0,3.87,-0.13,3.0,60.0,110.0,25.0,4.0,2.0
17,3.0,18.0,5.0,496.0,4.58,-0.42,15.0,108.0,50.0,17.0,10.0,4.0
