,HOL,RNK,PAR,YDG,AVG,SC,EAG,BIR,PAR,BOG,DBL,OTH
36,2.0,1.0,4.0,438.0,4.8,0.8,0.0,6.0,36.0,44.0,6.0,7.0
37,9.0,2.0,4.0,438.0,4.62,0.62,0.0,7.0,49.0,28.0,7.0,8.0
38,17.0,3.0,4.0,446.0,4.62,0.62,1.0,3.0,50.0,31.0,9.0,5.0
39,13.0,4.0,4.0,396.0,4.61,0.61,1.0,4.0,47.0,33.0,11.0,3.0
40,14.0,5.0,3.0,185.0,3.54,0.54,0.0,6.0,55.0,23.0,10.0,5.0
41,8.0,6.0,3.0,212.0,3.46,0.46,0.0,3.0,55.0,33.0,8.0,0.0
42,7.0,7.0,4.0,404.0,4.44,0.44,0.0,9.0,56.0,21.0,8.0,5.0
43,15.0,8.0,4.0,421.0,4.41,0.41,0.0,10.0,52.0,27.0,6.0,4.0
44,12.0,9.0,4.0,356.0,4.35,0.35,0.0,9.0,58.0,25.0,4.0,3.0
45,10.0,10.0,4.0,419.0,4.3,0.3,1.0,8.0,57.0,28.0,3.0,2.0
46,4.0,11.0,3.0,189.0,3.29,0.29,0.0,8.0,55.0,35.0,1.0,0.0
47,5.0,12.0,4.0,378.0,4.25,0.25,0.0,13.0,56.0,22.0,8.0,0.0
48,16.0,13.0,3.0,148.0,3.25,0.25,0.0,7.0,68.0,17.0,6.0,1.0
49,11.0,14.0,5.0,512.0,5.2,0.2,0.0,11.0,63.0,21.0,2.0,2.0
50,1.0,15.0,5.0,567.0,5.04,0.04,0.0,22.0,57.0,16.0,3.0,1.0
51,3.0,16.0,5.0,496.0,4.82,-0.18,1.0,44.0,33.0,15.0,5.0,1.0
52,6.0,17.0,4.0,294.0,3.82,-0.18,0.0,37.0,45.0,15.0,2.0,0.0
53,18.0,18.0,5.0,529.0,4.8,-0.2,6.0,34.0,41.0,14.0,1.0,3.0
