,hole,p1,p2,p3,p4,p5,par,averagePar,diff
0,1,5,4,5,6,4,5,4.8,-0.20000000000000018
1,2,4,4,4,4,4,4,4.0,0.0
2,3,4,5,5,4,5,5,4.6,-0.40000000000000036
3,4,3,3,3,3,3,3,3.0,0.0
4,5,4,4,5,4,4,4,4.2,0.20000000000000018
5,6,4,3,5,4,4,4,4.0,0.0
6,7,4,3,5,5,5,4,4.4,0.40000000000000036
7,8,3,3,4,4,2,3,3.2,0.20000000000000018
8,9,5,3,4,4,5,4,4.2,0.20000000000000018
9,10,4,4,5,4,3,4,4.0,0.0
10,11,4,6,4,4,5,5,4.6,-0.40000000000000036
11,12,4,3,4,3,4,4,3.6,-0.3999999999999999
12,13,4,4,4,4,4,4,4.0,0.0
13,14,3,3,3,4,4,3,3.4,0.3999999999999999
14,15,4,4,4,5,5,4,4.4,0.40000000000000036
15,16,3,3,3,3,3,3,3.0,0.0
16,17,5,3,6,6,5,4,5.0,1.0
17,18,6,4,4,4,4,5,4.4,-0.5999999999999996
